Instruction,Context,Response,Category
Use the Input and generate the suitable category name,"Lions, Tigers, Cheetahs, Leopards",Big Cats,category_generation
Use the Input and generate the suitable category name,"Piano, Guitar, Violin, Trumpet",Musical Instruments,category_generation
Use the Input and generate the suitable category name,"Apple, Banana, Cherry, Orange",Fruits,category_generation
Use the Input and generate the suitable category name,"Toyota, Ford, BMW, Tesla",Car Brands,category_generation
Use the Input and generate the suitable category name,"Python, Java, C++, Ruby",Programming Languages,category_generation
Use the Input and generate the suitable category name,"Drama, Comedy, Horror, Romance",Movie Genres,category_generation
Use the Input and generate the suitable category name,"USA, Canada, Mexico, Brazil",North and South American Countries,category_generation
Use the Input and generate the suitable category name,"Football, Hockey, Cricket, Tennis",Sports,category_generation
Use the Input and generate the suitable category name,"Mars, Earth, Venus, Jupiter",Planets,category_generation
Use the Input and generate the suitable category name,"Dog, Cat, Parrot, Hamster",Common Pets,category_generation
Use the Input and generate the suitable keywords,The Eiffel Tower is a famous landmark in Paris.,"Eiffel Tower, famous, landmark, Paris",keywords_extraction
Use the Input and generate the suitable keywords,Shakespeare wrote the tragedy Romeo and Juliet.,"Shakespeare, tragedy, Romeo and Juliet",keywords_extraction
Use the Input and generate the suitable keywords,The Sahara is the largest desert in Africa.,"Sahara, largest desert, Africa",keywords_extraction
Use the Input and generate the suitable keywords,Amazon is a leading e-commerce platform worldwide.,"Amazon, leading, e-commerce, worldwide",keywords_extraction
Use the Input and generate the suitable keywords,Elephants are known for their long trunks.,"Elephants, long, trunks",keywords_extraction
Use the Input and generate the suitable keywords,The Pacific is the largest ocean on Earth.,"Pacific, largest ocean, Earth",keywords_extraction
Use the Input and generate the suitable keywords,Chocolate is made from cocoa beans.,"Chocolate, made, cocoa beans",keywords_extraction
Use the Input and generate the suitable keywords,The Pyramids of Giza are in Egypt.,"Pyramids of Giza, Egypt",keywords_extraction
Use the Input and generate the suitable keywords,The Beatles were a famous British band.,"Beatles, famous, British band",keywords_extraction
Use the Input and generate the suitable keywords,The Great Wall of China is a historical monument.,"Great Wall of China, historical, monument",keywords_extraction
Use the Input and group by similarity,"5, Yellow, 10, Red, Chair, 15, 20, Blue, Table, Green, Lamp","[Red, Yellow, Blue, Green], [5, 10, 15, 20], [Chair, Table, Lamp]",group_by_similarity
Use the Input and group by similarity,"Tiger, Car, Hawk, Sparrow, Zebra, Pigeon, Elephant, Train","[Elephant, Tiger, Zebra], [Sparrow, Pigeon, Hawk], [Car, Train]",group_by_similarity
Use the Input and group by similarity,"Addition, Circle, Square, Pizza, Triangle, Multiplication, Subtraction, Burger","[Square, Triangle, Circle], [Addition, Subtraction, Multiplication], [Pizza, Burger]",group_by_similarity
Use the Input and group by similarity,"Moon, River, Laptop, Lake, Sun, Stars, Ocean, Computer","[Sun, Moon, Stars], [River, Lake, Ocean], [Laptop, Computer]",group_by_similarity
Use the Input and group by similarity,"Apple, Orange, Intel, Sky, Grape, Microsoft, Clouds","[Apple, Microsoft, Intel], [Orange, Grape], [Sky, Clouds]",group_by_similarity
Use the Input and group by similarity,"Silver, Cat, Gold, Bird, Bronze, Dog, Airplane, Chicken","[Gold, Silver, Bronze], [Cat, Dog, Bird, Chicken], [Airplane]",group_by_similarity
Use the Input and group by similarity,"Football, Car, Bus, Pencil, Basketball, Bicycle, Tennis, Pen","[Football, Basketball, Tennis], [Car, Bus, Bicycle], [Pencil, Pen]",group_by_similarity
Use the Input and group by similarity,"Water, Laptop, Tablet, Sandwich, Desktop, Soda, Juice, Coffee","[Laptop, Desktop, Tablet], [Juice, Water, Soda, Coffee], [Sandwich]",group_by_similarity
Use the Input and group by similarity,"Table, Pencil, Book, Chair, Eraser, Magazine, Desk, Pen, Journal","[Pencil, Pen, Eraser], [Chair, Table, Desk], [Book, Magazine, Journal]",group_by_similarity
Use the Input and group by similarity,"Cloud, Mountain, Thunder, Rain, Hat, Hill, Valley, Cap","[Mountain, Hill, Valley], [Cloud, Rain, Thunder], [Hat, Cap]",group_by_similarity
Use the Input and generate the suitable category name,"Cricket, Baseball, Volleyball, Rugby",Team Sports,category_generation
Use the Input and generate the suitable category name,"Whale, Dolphin, Shark, Tuna",Marine Animals,category_generation
Use the Input and generate the suitable category name,"Rose, Lavender, Jasmine, Marigold",Fragrant Flowers,category_generation
